district,campus,order,articulated_avg,unarticulated_avg
Cabrillo Community College District,UCSD,4,1.02,0.0
Cabrillo Community College District,UCSB,1,3.0,0.0
Cabrillo Community College District,UCSB,2,0.5,0.0
Cabrillo Community College District,UCSB,3,0.11,0.0
Cabrillo Community College District,UCSB,4,0.02,0.0
Cabrillo Community College District,UCLA,1,4.0,2.0
Cabrillo Community College District,UCLA,2,0.75,2.0
Cabrillo Community College District,UCLA,3,0.14,2.0
Cabrillo Community College District,UCLA,4,0.02,2.0
Cabrillo Community College District,UCB,1,4.0,0.0
Cabrillo Community College District,UCB,2,0.75,0.0
Cabrillo Community College District,UCB,3,0.14,0.0
Cabrillo Community College District,UCB,4,0.02,0.0
Cabrillo Community College District,UCSC,1,3.0,0.0
Cabrillo Community College District,UCSC,2,0.25,0.0
Cabrillo Community College District,UCSC,3,0.0,0.0
Cabrillo Community College District,UCSC,4,0.0,0.0
Cabrillo Community College District,UCI,1,4.0,0.0
Cabrillo Community College District,UCI,2,0.75,0.0
Cabrillo Community College District,UCI,3,0.14,0.0
Cabrillo Community College District,UCI,4,0.02,0.0
Cabrillo Community College District,UCR,1,1.0,0.0
Cabrillo Community College District,UCR,2,0.12,0.0
Cabrillo Community College District,UCR,3,0.04,0.0
Cabrillo Community College District,UCR,4,0.0,0.0
Cerritos Community College District,UCD,1,3.0,1.0
Cerritos Community College District,UCD,2,0.38,1.0
Cerritos Community College District,UCD,3,0.04,1.0
Cerritos Community College District,UCD,4,0.0,1.0
Cerritos Community College District,UCM,1,5.0,0.0
Cerritos Community College District,UCM,2,2.38,0.0
Cerritos Community College District,UCM,3,2.04,0.0
Cerritos Community College District,UCM,4,2.0,0.0
Cerritos Community College District,UCSD,1,3.0,0.0
Cerritos Community College District,UCSD,2,0.38,0.0
Cerritos Community College District,UCSD,3,0.04,0.0
Cerritos Community College District,UCSD,4,0.0,0.0
Cerritos Community College District,UCSB,1,3.0,0.0
Cerritos Community College District,UCSB,2,0.75,0.0
Cerritos Community College District,UCSB,3,0.36,0.0
Cerritos Community College District,UCSB,4,0.18,0.0
Cerritos Community College District,UCLA,1,4.0,2.0
Cerritos Community College District,UCLA,2,1.0,2.0
Cerritos Community College District,UCLA,3,0.39,2.0
Cerritos Community College District,UCLA,4,0.18,2.0
Cerritos Community College District,UCB,1,4.0,0.0
Cerritos Community College District,UCB,2,1.0,0.0
Cerritos Community College District,UCB,3,0.39,0.0
Cerritos Community College District,UCB,4,0.18,0.0
Cerritos Community College District,UCSC,1,3.0,0.0
Cerritos Community College District,UCSC,2,0.25,0.0
Cerritos Community College District,UCSC,3,0.0,0.0
Cerritos Community College District,UCSC,4,0.0,0.0
Cerritos Community College District,UCI,1,4.0,0.0
Cerritos Community College District,UCI,2,1.0,0.0
Cerritos Community College District,UCI,3,0.39,0.0
Cerritos Community College District,UCI,4,0.18,0.0
Cerritos Community College District,UCR,1,1.0,0.0
Cerritos Community College District,UCR,2,0.12,0.0
Cerritos Community College District,UCR,3,0.04,0.0
Cerritos Community College District,UCR,4,0.0,0.0
Chabot-Las Positas Community College District,UCD,1,4.0,0.0
Chabot-Las Positas Community College District,UCD,2,2.25,0.0
Chabot-Las Positas Community College District,UCD,3,2.0,0.0
Chabot-Las Positas Community College District,UCD,4,2.0,0.0
Chabot-Las Positas Community College District,UCM,1,5.0,0.0
Chabot-Las Positas Community College District,UCM,2,2.38,0.0
Chabot-Las Positas Community College District,UCM,3,2.0,0.0
Chabot-Las Positas Community College District,UCM,4,2.0,0.0
Chabot-Las Positas Community College District,UCSD,1,4.0,0.0
Chabot-Las Positas Community College District,UCSD,2,1.12,0.0
Chabot-Las Positas Community College District,UCSD,3,0.71,0.0
Chabot-Las Positas Community College District,UCSD,4,0.82,0.0
Chabot-Las Positas Community College District,UCSB,1,4.0,0.0
Chabot-Las Positas Community College District,UCSB,2,0.88,0.0
Chabot-Las Positas Community College District,UCSB,3,0.21,0.0
Chabot-Las Positas Community College District,UCSB,4,0.07,0.0
Chabot-Las Positas Community College District,UCLA,1,4.0,2.0
Chabot-Las Positas Community College District,UCLA,2,1.0,2.0
Chabot-Las Positas Community College District,UCLA,3,0.46,2.0
Chabot-Las Positas Community College District,UCLA,4,0.45,2.0
Chabot-Las Positas Community College District,UCB,1,4.0,0.0
Chabot-Las Positas Community College District,UCB,2,0.88,0.0
Chabot-Las Positas Community College District,UCB,3,0.25,0.0
Chabot-Las Positas Community College District,UCB,4,0.18,0.0
Chabot-Las Positas Community College District,UCSC,1,3.0,0.0
Chabot-Las Positas Community College District,UCSC,2,0.38,0.0
Chabot-Las Positas Community College District,UCSC,3,0.0,0.0
Chabot-Las Positas Community College District,UCSC,4,0.0,0.0
Chabot-Las Positas Community College District,UCI,1,4.0,0.0
Chabot-Las Positas Community College District,UCI,2,0.88,0.0
Chabot-Las Positas Community College District,UCI,3,0.21,0.0
Chabot-Las Positas Community College District,UCI,4,0.07,0.0
Chabot-Las Positas Community College District,UCR,1,1.0,0.0
Chabot-Las Positas Community College District,UCR,2,0.25,0.0
Chabot-Las Positas Community College District,UCR,3,0.21,0.0
Chabot-Las Positas Community College District,UCR,4,0.27,0.0
Chaffey Community College District,UCD,1,4.0,0.0
Chaffey Community College District,UCD,2,0.75,0.0
Chaffey Community College District,UCD,3,0.14,0.0
Chaffey Community College District,UCD,4,0.02,0.0
Chaffey Community College District,UCM,1,5.0,0.0
Chaffey Community College District,UCM,2,2.38,0.0
Chaffey Community College District,UCM,3,2.04,0.0
Chaffey Community College District,UCM,4,2.0,0.0
Chaffey Community College District,UCSD,1,4.0,0.0
Chaffey Community College District,UCSD,2,0.75,0.0
Chaffey Community College District,UCSD,3,0.14,0.0
Chaffey Community College District,UCSD,4,0.02,0.0
Chaffey Community College District,UCSB,1,3.0,0.0
Chaffey Community College District,UCSB,2,0.5,0.0
Chaffey Community College District,UCSB,3,0.11,0.0
Chaffey Community College District,UCSB,4,0.02,0.0
Chaffey Community College District,UCLA,1,4.0,2.0
Chaffey Community College District,UCLA,2,0.75,2.0
Chaffey Community College District,UCLA,3,0.14,2.0
Chaffey Community College District,UCLA,4,0.02,2.0
Chaffey Community College District,UCB,1,4.0,0.0
Chaffey Community College District,UCB,2,0.75,0.0
Chaffey Community College District,UCB,3,0.14,0.0
Chaffey Community College District,UCB,4,0.02,0.0
Chaffey Community College District,UCSC,1,3.0,0.0
Chaffey Community College District,UCSC,2,0.25,0.0
Chaffey Community College District,UCSC,3,0.0,0.0
Chaffey Community College District,UCSC,4,0.0,0.0
Chaffey Community College District,UCI,1,4.0,0.0
Chaffey Community College District,UCI,2,0.75,0.0
Chaffey Community College District,UCI,3,0.14,0.0
Chaffey Community College District,UCI,4,0.02,0.0
Chaffey Community College District,UCR,1,1.0,0.0
Chaffey Community College District,UCR,2,0.12,0.0
Chaffey Community College District,UCR,3,0.04,0.0
Chaffey Community College District,UCR,4,0.0,0.0
Citrus Community College District,UCD,1,2.0,1.0
Citrus Community College District,UCD,2,0.25,1.0
Citrus Community College District,UCD,3,0.0,1.0
Citrus Community College District,UCD,4,0.0,1.0
Citrus Community College District,UCM,1,5.0,0.0
Citrus Community College District,UCM,2,2.5,0.0
Citrus Community College District,UCM,3,2.04,0.0
Citrus Community College District,UCM,4,2.0,0.0
Citrus Community College District,UCSD,1,5.0,0.0
Citrus Community College District,UCSD,2,2.0,0.0
Citrus Community College District,UCSD,3,1.25,0.0
