campus,unarticulated_receiver,districts_blocked,districts
UCM,CHEM 008 + CHEM 008L,5,Compton Community College District | Palo Verde Community College District | Redwoods Community College District | Siskiyou Joint Community College District | West Kern Community College District
UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021A / MAT 021B],4,Citrus Community College District | Copper Mountain Community College District | Monterey Peninsula Community College District | Yuba Community College District
UCSD,1 of [MATH 10B / MATH 11 / MATH 11],4,Hartnell Community College District | Redwoods Community College District | Rio Hondo Community College District | Victor Valley Community College District
UCLA,LIFESCI 7B,3,Imperial Community College District | Lake Tahoe Community College District | Palo Verde Community College District
UCLA,LIFESCI 7C,3,Cerritos Community College District | Palo Verde Community College District | Siskiyou Joint Community College District
UCR,1 of [BIOL 5A + BIOL 5B + BIOL 5C + BIOL 5LA / CHEM 8A + CHEM 8B + CHEM 8C + CHEM 8LA + CHEM 8LB + CHEM 8LC / PHYS 2A + PHYS 2B + PHYS 2C + PHYS 2LA + PHYS 2LB + PHYS 2LC / PHYS 40A + PHYS 40B + PHYS 40C],3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCSB,MCDB 1A + MCDB 1B + MCDB 1LL + EEMB 2 + EEMB 2LL + EEMB 3,3,Palo Verde Community College District | Victor Valley Community College District | West Hills Community College District
UCSD,1 of [PHYS 1A / PHYS 1AL / PHYS 1B / PHYS 1BL / PHYS 1C / PHYS 1CL / PHYS 2A / PHYS 2A / PHYS 2A / PHYS 2B / PHYS 2B / PHYS 2B / PHYS 2BL / PHYS 2C / PHYS 2C / PHYS 2C / PHYS 2CL / PHYS 2DL],3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021A / MAT 021B / MAT 021C + MAT 021D],2,Palo Verde Community College District | Santa Clarita Community College District
UCLA,1 of [PHYSICS 1A + PHYSICS 1B + PHYSICS 1C + PHYSICS 4AL + PHYSICS 4BL / PHYSICS 5A + PHYSICS 5B + PHYSICS 5C],2,Lassen Community College District | Palo Verde Community College District
UCSD,BILD 1,2,Mendocino-Lake Community College District | Palo Verde Community College District
UCSD,BILD 2,2,Mendocino-Lake Community College District | Palo Verde Community College District
UCSD,BILD 3,2,Mendocino-Lake Community College District | Palo Verde Community College District
UCSD,BILD 4,2,Mendocino-Lake Community College District | Palo Verde Community College District
UCB,2 of [MATH 51 / MATH 52 / MATH 53 / MATH 54 / MATH 55] #1,1,Palo Verde Community College District
UCB,2 of [MATH 51 / MATH 52 / MATH 53 / MATH 54 / MATH 55] #2,1,Palo Verde Community College District
UCD,1 of [CHE 002A + CHE 002B + CHE 002C / CHE 004A / CHE 004B / CHE 004C],1,Palo Verde Community College District
UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021B],1,Yosemite Community College District
UCD,1 of [MAT 017B / MAT 017C / MAT 021A / MAT 021B],1,Rancho Santiago Community College District
UCD,1 of [MAT 017B / MAT 017C / MAT 021B / MAT 021C + MAT 021D],1,Pasadena Area Community College District
UCD,1 of [MAT 017B / MAT 017C / MAT 021C + MAT 021D],1,Santa Barbara Community College District
UCD,1 of [MAT 017C / MAT 021C + MAT 021D],1,Imperial Community College District
UCLA,1 of [LIFESCI 30A + LIFESCI 30B / MATH 31A + MATH 31B + MATH 32A / MATH 3A + MATH 3B + MATH 3C],1,Palo Verde Community College District
UCLA,LIFESCI 7A,1,Palo Verde Community College District
UCM,1 of [MATH 011 / MATH 012 / MATH 021 / MATH 022],1,Palo Verde Community College District
UCR,1 of [MATH 7A + MATH 7B / MATH 9A + MATH 9B],1,Palo Verde Community College District
UCR,CHEM 1A + CHEM 1B + CHEM 1C + CHEM 1LA + CHEM 1LB + CHEM 1LC,1,Palo Verde Community College District
UCSB,1 of [MATH 34A / MATH 3A],1,Palo Verde Community College District
UCSB,1 of [MATH 34B / MATH 3B],1,Palo Verde Community College District
UCSC,1 of [CHEM 3A / CHEM 3B / CHEM 3C / CHEM 4A / CHEM 4B],1,Palo Verde Community College District
UCSC,1 of [MATH 11A / MATH 16A / MATH 19A],1,Palo Verde Community College District
UCSC,BIOE 20B,1,Palo Verde Community College District
UCSC,BIOL 20A,1,Palo Verde Community College District
UCSD,1 of [MATH 10A / MATH 10B / MATH 20B],1,Palo Verde Community College District
UCSD,1 of [PHYS 1A / PHYS 1AL / PHYS 1B / PHYS 1BL / PHYS 1C / PHYS 1CL / PHYS 2A / PHYS 2A / PHYS 2A / PHYS 2BL / PHYS 2C / PHYS 2C / PHYS 2C / PHYS 2CL / PHYS 2DL],1,Barstow Community College District
UCSD,1 of [PHYS 1A / PHYS 1AL / PHYS 1B / PHYS 1BL / PHYS 1C / PHYS 1CL / PHYS 2BL / PHYS 2CL / PHYS 2DL],1,Merced Community College District
UCSD,1 of [PHYS 1A / PHYS 1AL / PHYS 1B / PHYS 1BL / PHYS 1C / PHYS 1CL / PHYS 2C / PHYS 2C / PHYS 2C / PHYS 2DL],1,Antelope Valley Community College District
UCSD,CHEM 6A,1,Palo Verde Community College District
UCSD,CHEM 6B,1,Palo Verde Community College District
UCSD,CHEM 6C,1,Palo Verde Community College District
UCSD,CHEM 7L,1,Palo Verde Community College District
