campus,district,articulated_count
UCR,Yosemite Community College District,1
UCSB,Yosemite Community College District,3
UCSC,Yosemite Community College District,3
UCSD,Yosemite Community College District,4
UCB,Yuba Community College District,4
UCI,Yuba Community College District,4
UCM,Yuba Community College District,5
UCR,Yuba Community College District,1
UCSB,Yuba Community College District,3
UCSC,Yuba Community College District,3
