campus,unarticulated_receiver,districts_blocked,districts
UCSC,CSE 30,17,Barstow Community College District | Chaffey Community College District | Citrus Community College District | Compton Community College District | Copper Mountain Community College District | Feather River Community College District | Imperial Community College District | Lassen Community College District | Mendocino-Lake Community College District | Mt. San Antonio Community College District | Palo Verde Community College District | Redwoods Community College District | San Diego Community College District | Shasta-Tehama-Trinity Joint Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District
UCD,ECS 020,15,Barstow Community College District | Feather River Community College District | Lake Tahoe Community College District | Lassen Community College District | Mendocino-Lake Community College District | Napa Valley Community College District | Palo Verde Community College District | Rancho Santiago Community College District | Redwoods Community College District | Rio Hondo Community College District | Sequoias Community College District | Siskiyou Joint Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District
UCD,ECS 036A,15,Allan Hancock Joint Community College District | Barstow Community College District | Butte-Glenn Community College District | Compton Community College District | Desert Community College District | Feather River Community College District | Hartnell Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Palo Verde Community College District | San Joaquin Delta Community College District | Santa Monica Community College District | Victor Valley Community College District | West Hills Community College District
UCR,CS 10B,14,Antelope Valley Community College District | Chaffey Community College District | Compton Community College District | Feather River Community College District | Hartnell Community College District | Lassen Community College District | Napa Valley Community College District | Palo Verde Community College District | Redwoods Community College District | Solano Community College District | Southwestern Community College District | Ventura County Community College District | West Hills Community College District | West Kern Community College District
UCSC,CSE 16,14,Chaffey Community College District | Feather River Community College District | Glendale Community College District | Lake Tahoe Community College District | Lassen Community College District | Mendocino-Lake Community College District | Napa Valley Community College District | Palo Verde Community College District | Redwoods Community College District | Rio Hondo Community College District | Sequoias Community College District | Siskiyou Joint Community College District | West Hills Community College District | West Kern Community College District
UCSB,CMPSC 16,13,Antelope Valley Community College District | Barstow Community College District | Compton Community College District | Feather River Community College District | Imperial Community College District | Lake Tahoe Community College District | Lassen Community College District | Mendocino-Lake Community College District | Palo Verde Community College District | Redwoods Community College District | Siskiyou Joint Community College District | Solano Community College District | Yosemite Community College District
UCM,CSE 030,7,Feather River Community College District | Lassen Community College District | Palo Verde Community College District | Redwoods Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District
UCR,CS 10A,6,Antelope Valley Community College District | Compton Community College District | Feather River Community College District | Imperial Community College District | Lassen Community College District | Palo Verde Community College District
UCSB,CMPSC 40,6,Feather River Community College District | Lake Tahoe Community College District | Lassen Community College District | Palo Verde Community College District | Redwoods Community College District | West Hills Community College District
UCLA,MATH 33A,5,Barstow Community College District | Feather River Community College District | Lassen Community College District | Palo Verde Community College District | West Kern Community College District
UCM,CSE 022,5,Feather River Community College District | Lassen Community College District | Palo Verde Community College District | Sequoias Community College District | Victor Valley Community College District
UCLA,MATH 33B,4,Barstow Community College District | Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCSD,MATH 18,4,Feather River Community College District | Lassen Community College District | Palo Verde Community College District | West Kern Community College District
UCB,MATH 54,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCD,1 of [MAT 022A / MAT 027A / MAT 067],3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCD,MAT 021C,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCLA,MATH 32A,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCLA,MATH 32B,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCM,MATH 024,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCR,3 of [CS 10C / CS 11 / CS 61 / MATH 10A / PHYS 40B / PHYS 40C] #1,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCR,3 of [CS 10C / CS 11 / CS 61 / MATH 10A / PHYS 40B / PHYS 40C] #2,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCR,3 of [CS 10C / CS 11 / CS 61 / MATH 10A / PHYS 40B / PHYS 40C] #3,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCR,PHYS 40A,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCSB,MATH 4A,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCSD,MATH 20C,3,Feather River Community College District | Lassen Community College District | Palo Verde Community College District
UCB,MATH 53,2,Lassen Community College District | Palo Verde Community College District
UCB,PHYSICS 7A,2,Lassen Community College District | Palo Verde Community College District
UCB,PHYSICS 7B,2,Lassen Community College District | Palo Verde Community College District
UCLA,PHYSICS 1A + PHYSICS 1B + PHYSICS 1C + PHYSICS 4AL + PHYSICS 4BL,2,Lassen Community College District | Palo Verde Community College District
UCM,MATH 023,2,Lassen Community College District | Palo Verde Community College District
UCM,PHYS 008 + PHYS 008L,2,Lassen Community College District | Palo Verde Community College District
UCM,PHYS 009 + PHYS 009L,2,Lassen Community College District | Palo Verde Community College District
UCSB,MATH 4B,2,Lassen Community College District | Palo Verde Community College District
UCB,1 of [ASTRON 7A / ASTRON 7B / BIOLOGY 1A + BIOLOGY 1AL / BIOLOGY 1B / CHEM 1A + CHEM 1AL / CHEM 1B / CHEM 3A + CHEM 3AL / CHEM 3B + CHEM 3BL / MCELLBI 32 + MCELLBI 32L / PHYSICS 7C],1,Palo Verde Community College District
UCB,MATH 51,1,Palo Verde Community College District
UCB,MATH 52,1,Palo Verde Community College District
UCD,MAT 021A,1,Palo Verde Community College District
UCD,MAT 021B,1,Palo Verde Community College District
UCI,MATH 2A,1,Palo Verde Community College District
UCI,MATH 2B,1,Palo Verde Community College District
UCLA,MATH 31A,1,Palo Verde Community College District
UCLA,MATH 31B,1,Palo Verde Community College District
UCLA,PHYSICS 1C,1,Kern Community College District
UCM,MATH 021,1,Palo Verde Community College District
UCM,MATH 022,1,Palo Verde Community College District
UCR,MATH 9A + MATH 9B + MATH 9C,1,Palo Verde Community College District
UCSB,MATH 3A,1,Palo Verde Community College District
UCSB,MATH 3B,1,Palo Verde Community College District
UCSC,MATH 19A,1,Palo Verde Community College District
UCSC,MATH 19B,1,Palo Verde Community College District
UCSD,1 of [BILD 1 / BILD 2 / BILD 3 / CHEM 6A / CHEM 6B / PHYS 2A / PHYS 2B / PHYS 4A / PHYS 4B],1,Palo Verde Community College District
UCSD,MATH 20B,1,Palo Verde Community College District
