district,campus,order,articulated_avg,unarticulated_avg
Coast Community College District,UCSD,2,3.38,0.0
Coast Community College District,UCSD,3,2.04,0.0
Coast Community College District,UCSD,4,1.45,0.0
Coast Community College District,UCSB,1,6.0,0.0
Coast Community College District,UCSB,2,3.0,0.0
Coast Community College District,UCSB,3,2.07,0.0
Coast Community College District,UCSB,4,1.71,0.0
Coast Community College District,UCLA,1,5.0,0.0
Coast Community College District,UCLA,2,1.88,0.0
Coast Community College District,UCLA,3,0.89,0.0
Coast Community College District,UCLA,4,0.54,0.0
Coast Community College District,UCB,1,4.0,0.0
Coast Community College District,UCB,2,1.38,0.0
Coast Community College District,UCB,3,0.57,0.0
Coast Community College District,UCB,4,0.25,0.0
Coast Community College District,UCSC,1,5.0,0.0
Coast Community College District,UCSC,2,2.5,0.0
Coast Community College District,UCSC,3,1.64,0.0
Coast Community College District,UCSC,4,1.16,0.0
Coast Community College District,UCI,1,4.0,0.0
Coast Community College District,UCI,2,2.25,0.0
Coast Community College District,UCI,3,2.0,0.0
Coast Community College District,UCI,4,2.0,0.0
Coast Community College District,UCR,1,3.0,0.0
Coast Community College District,UCR,2,2.12,0.0
Coast Community College District,UCR,3,1.64,0.0
Coast Community College District,UCR,4,1.38,0.0
Compton Community College District,UCD,1,4.0,4.0
Compton Community College District,UCD,2,1.12,3.88
Compton Community College District,UCD,3,0.57,3.89
Compton Community College District,UCD,4,0.25,3.95
Compton Community College District,UCM,1,6.0,0.0
Compton Community College District,UCM,2,2.38,0.0
Compton Community College District,UCM,3,1.32,0.11
Compton Community College District,UCM,4,0.68,0.21
Compton Community College District,UCSD,1,7.0,0.0
Compton Community College District,UCSD,2,3.12,0.0
Compton Community College District,UCSD,3,1.93,0.0
Compton Community College District,UCSD,4,1.23,0.0
Compton Community College District,UCSB,1,5.0,1.0
Compton Community College District,UCSB,2,1.75,0.88
Compton Community College District,UCSB,3,0.93,0.89
Compton Community College District,UCSB,4,0.43,0.95
Compton Community College District,UCLA,1,4.0,1.0
Compton Community College District,UCLA,2,1.0,1.0
Compton Community College District,UCLA,3,0.43,1.0
Compton Community College District,UCLA,4,0.14,1.0
Compton Community College District,UCB,1,4.0,0.0
Compton Community College District,UCB,2,1.0,0.0
Compton Community College District,UCB,3,0.43,0.0
Compton Community College District,UCB,4,0.14,0.0
Compton Community College District,UCSC,1,3.0,2.0
Compton Community College District,UCSC,2,0.62,1.88
Compton Community College District,UCSC,3,0.36,1.89
Compton Community College District,UCSC,4,0.18,1.95
Compton Community College District,UCI,1,4.0,1.0
Compton Community College District,UCI,2,1.5,0.5
Compton Community College District,UCI,3,1.14,0.32
Compton Community College District,UCI,4,0.91,0.29
Compton Community College District,UCR,1,2.0,2.0
Compton Community College District,UCR,2,0.0,2.0
Compton Community College District,UCR,3,0.0,2.0
Compton Community College District,UCR,4,0.0,2.0
Contra Costa Community College District,UCD,1,9.0,0.0
Contra Costa Community College District,UCD,2,6.0,0.0
Contra Costa Community College District,UCD,3,5.18,0.0
Contra Costa Community College District,UCD,4,4.52,0.0
Contra Costa Community College District,UCM,1,7.0,0.0
Contra Costa Community College District,UCM,2,3.38,0.0
Contra Costa Community College District,UCM,3,2.21,0.0
Contra Costa Community College District,UCM,4,1.41,0.0
Contra Costa Community College District,UCSD,1,7.0,0.0
Contra Costa Community College District,UCSD,2,3.5,0.0
Contra Costa Community College District,UCSD,3,2.43,0.0
Contra Costa Community College District,UCSD,4,1.68,0.0
Contra Costa Community College District,UCSB,1,7.0,0.0
Contra Costa Community College District,UCSB,2,3.25,0.0
Contra Costa Community College District,UCSB,3,2.0,0.0
Contra Costa Community College District,UCSB,4,1.14,0.0
Contra Costa Community College District,UCLA,1,6.0,0.0
