scenario_id,district_index,district,region,unit_system,reachable_count,reachable_codes,portfolio_mask,portfolio_size,portfolio_codes,status,course_status,prerequisite_status,schedule_status,role_attribution_status,course_result_quality,schedule_result_quality,distinct_courses,major_course_count,prerequisite_course_count,colleges_used,semester_equiv_units,min_terms,lower_bound_terms,upper_bound_terms,academic_years,exact_only_overlap_savings_courses,bounded_sensitivity_overlap_savings_courses,computation_elapsed_ms
3:2,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,2,1,UCR,optimal,optimal,complete,optimal,optimal,exact,exact,7,7,0,1,26,3,3,3,1.5,0,0,3
3:4,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,4,1,UCB,optimal,optimal,complete,optimal,optimal,exact,exact,10,10,0,1,39,5,5,5,2.5,0,0,81
3:64,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,64,1,UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,8,7,1,1,29,5,5,5,2.5,0,0,2
3:128,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,128,1,UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,6,5,1,1,21,2,2,2,1,0,0,2
3:256,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,256,1,UCM,optimal,optimal,complete,optimal,optimal,exact,exact,11,11,0,1,41,5,5,5,2.5,0,0,32
3:6,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,6,2,UCR|UCB,optimal,optimal,complete,optimal,optimal,exact,exact,12,12,0,1,45,5,5,5,2.5,5,5,12
3:66,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,66,2,UCR|UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,10,10,0,1,37,5,5,5,2.5,5,5,3
3:68,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,68,2,UCB|UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,5,5,33
3:130,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,130,2,UCR|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,8,8,0,1,29,3,3,3,1.5,5,5,3
3:132,3,Butte-Glenn Community College District,Northern,semester,5,UCR|UCB|UCSB|UCSC|UCM,132,2,UCB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,14,13,1,1,51,5,5,5,2.5,2,2,192
